"","Sepal_Length","Species"
"1",7,"versicolor"
"2",6.4,"versicolor"
"3",6.9,"versicolor"
"4",5.5,"versicolor"
"5",6.5,"versicolor"
"6",5.7,"versicolor"
"7",6.3,"versicolor"
"8",4.9,"versicolor"
"9",6.6,"versicolor"
"10",5.2,"versicolor"
"11",5,"versicolor"
"12",5.9,"versicolor"
"13",6,"versicolor"
"14",6.1,"versicolor"
"15",5.6,"versicolor"
"16",6.7,"versicolor"
"17",5.6,"versicolor"
"18",5.8,"versicolor"
"19",6.2,"versicolor"
"20",5.6,"versicolor"
"21",6.3,"virginica"
"22",5.8,"virginica"
"23",7.1,"virginica"
"24",6.3,"virginica"
"25",6.5,"virginica"
"26",7.6,"virginica"
"27",4.9,"virginica"
"28",7.3,"virginica"
"29",6.7,"virginica"
"30",7.2,"virginica"
"31",6.5,"virginica"
"32",6.4,"virginica"
"33",6.8,"virginica"
"34",5.7,"virginica"
"35",5.8,"virginica"
"36",6.4,"virginica"
"37",6.5,"virginica"
"38",7.7,"virginica"
"39",7.7,"virginica"
"40",6,"virginica"
